timestamp,version,msgtype,seq,timestamp_ms,mode,batt_mv,temp_c,press_pa,alt_cm,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,light,comp_len,raw_len
1756387225,1,1,2890,4040568838,OP,4127,23.53,101329,4294967260,30,11,13,38,75,886,554,0,40
1756387226,1,1,2891,4040569338,OP,4127,23.34,101329,4294967262,44,6,-11,73,19,1081,635,0,40
1756387226,1,1,2892,4040569838,OP,4127,23.73,101328,4294967270,17,-46,7,-110,-37,946,584,0,40
1756387227,1,1,2893,4040570338,OP,4127,23.77,101328,4294967264,-30,28,-6,28,-11,1117,680,0,40
1756387227,1,1,2894,4040570839,OP,4127,23.59,101328,4294967270,0,-40,-15,-39,-7,1022,606,0,40
1756387228,1,1,2895,4040571340,OP,4127,23.14,101327,4294967272,-5,27,30,-32,-4,958,641,0,40
1756387228,1,1,2896,4040571840,OP,4127,23.38,101329,4294967257,-21,-4,6,57,7,990,664,0,40
1756387229,1,1,2897,4040572341,OP,4127,23.61,101328,4294967266,-16,14,4,28,-37,949,667,0,40
1756387229,1,1,2898,4040572842,OP,4127,23.46,101329,4294967257,17,1,-18,44,5,858,714,0,40
1756387230,1,1,2899,4040573342,OP,4127,23.42,101328,4294967266,1,11,4,-7,-42,960,744,0,40
1756387230,1,1,2900,4040573842,OP,4127,23.29,101328,4294967271,0,5,-40,3,-12,944,646,0,40
1756387231,1,1,2901,4040574343,OP,4127,23.68,101328,4294967263,-43,-42,1,-20,-32,1040,834,0,40
1756387231,1,1,2902,4040574843,OP,4127,23.54,101329,4294967262,-13,-52,-14,18,20,967,771,0,40
1756387232,1,1,2903,4040575343,OP,4127,23.57,101327,4294967276,66,-17,27,-11,-8,1005,739,0,40
1756387232,1,1,2904,4040575844,OP,4127,23.96,101328,4294967269,-27,-34,-21,41,-63,1066,790,0,40
1756387233,1,1,2905,4040576344,OP,4127,23.31,101326,4294967283,21,-8,-7,91,35,1023,832,0,40
1756387233,1,1,2906,4040576844,OP,4127,23.62,101329,4294967258,-18,16,-6,47,-15,1022,815,0,40
1756387234,1,1,2907,4040577345,OP,4127,23.45,101328,4294967265,-4,-4,8,29,6,1069,813,0,40
1756387234,1,1,2908,4040577846,OP,4127,23.63,101326,4294967285,18,-35,35,45,61,1001,796,0,40
1756387235,1,1,2909,4040578347,OP,4127,23.34,101329,4294967263,36,-31,33,64,27,935,868,0,40
1756387235,1,1,2910,4040578847,OP,4127,24.08,101328,4294967270,-8,-3,-4,-3,-99,982,788,0,40
1756387236,1,1,2911,4040579348,OP,4127,23.65,101329,4294967261,-31,-37,18,-6,7,1009,924,0,40
1756387236,1,1,2912,4040579848,OP,4127,23.5,101329,4294967262,30,-7,-13,-88,112,1056,891,0,40
1756387237,1,1,2913,4040580349,OP,4127,23.33,101327,4294967272,11,-2,40,3,40,980,866,0,40
1756387237,1,1,2914,4040580849,OP,4127,23.41,101329,4294967262,2,2,-16,-30,-47,1044,901,0,40
1756387238,1,1,2915,4040581350,OP,4127,23.45,101325,4294967292,26,24,9,-61,94,961,932,0,40
1756387238,1,1,2916,4040581850,OP,4127,23.41,101326,4294967280,5,7,14,-55,-71,1060,915,0,40
1756387239,1,1,2917,4040582351,OP,4126,23.12,101326,4294967281,4,29,10,115,15,902,870,0,40
1756387239,1,1,2918,4040582852,OP,4126,23.61,101328,4294967270,37,14,-4,75,39,1027,911,0,40
1756387240,1,1,2919,4040583352,OP,4126,23.66,101326,4294967284,6,-13,-20,35,-17,1022,998,0,40
1756387240,1,1,2920,4040583853,OP,4126,23.43,101327,4294967275,-29,-13,-32,10,-45,1014,946,0,40
1756387241,1,1,2921,4040584353,OP,4126,23.49,101328,4294967268,-2,11,-37,-60,4,1007,954,0,40
1756387241,1,1,2922,4040584854,OP,4126,23.93,101325,4294967289,16,8,-51,25,-39,984,882,0,40
1756387242,1,1,2923,4040585354,OP,4126,23.72,101327,4294967275,14,4,-32,93,15,1039,931,0,40
1756387242,1,1,2924,4040585854,OP,4126,23.63,101328,4294967268,-8,-14,16,73,-73,879,927,0,40
1756387243,1,1,2925,4040586355,OP,4126,23.35,101327,4294967277,1,7,-21,3,68,990,871,0,40
1756387243,1,1,2926,4040586855,OP,4126,23.09,101327,4294967274,-4,-39,4,2,71,1082,924,0,40
1756387244,1,1,2927,4040587355,OP,4126,23.76,101328,4294967269,-1,3,-24,90,81,915,877,0,40
1756387244,1,1,2928,4040587856,OP,4126,23.51,101325,4294967291,33,-31,-10,39,15,946,809,0,40
1756387245,1,1,2929,4040588356,OP,4126,23.55,101326,4294967285,-19,40,23,-28,-24,1060,854,0,40
1756387245,1,1,2930,4040588857,OP,4126,23.7,101326,4294967283,-8,18,-9,67,60,1065,885,0,40
1756387246,1,1,2931,4040589357,OP,4126,23.55,101327,4294967276,-17,-24,-28,3,72,930,866,0,40
1756387246,1,1,2932,4040589858,OP,4126,23.81,101327,4294967278,3,-15,9,-11,0,1004,866,0,40
1756387247,1,1,2933,4040590358,OP,4126,23.3,101327,4294967279,-27,2,-26,-20,74,922,826,0,40
1756387247,1,1,2934,4040590859,OP,4126,23.63,101326,4294967288,-4,-22,-10,57,64,1000,723,0,40
1756387248,1,1,2935,4040591359,OP,4126,23.64,101325,4294967291,0,10,-8,0,8,969,870,0,40
1756387248,1,1,2936,4040591860,OP,4126,23.63,101325,4294967289,-19,-22,3,-4,10,1041,731,0,40
1756387249,1,1,2937,4040592360,OP,4126,23.99,101325,4294967290,-46,19,-29,-38,-7,961,741,0,40
